Z,Q_beta
37,0.014830000000004
38,0.011846996000003
39,0.010052325999993
40,0.007733439999996
41,0.00637866000001
42,0.003902447000002
43,0.002857503999991
44,0.000820634000007
45,-0.000582956000002
46,-0.002882189000005
47,-0.004453378999997
48,-0.006465398000003
49,-0.008223348999991
50,-0.011584736000003
