Z,mass
37,102.96392
38,102.94909
39,102.937243004
40,102.927190678
41,102.919457238
42,102.913078578
43,102.909176131
44,102.906318627
45,102.905497993
46,102.906080949
47,102.908963138
48,102.913416517
49,102.919881915
50,102.928105264
51,102.93969
